12/31/2013, SEX ASSAULT-FORCIBLE, 01/31/2012, 00:01, RESIDENTIAL COLLEGE BLDG, Closed, 13-30-OF
12/31/2013, SEX ASSAULT-FORCIBLE, 03/25/2012, 00:01, RESIDENTIAL BLDG, Closed, 13-31-OF
12/31/2013, SEX ASSAULT-FORCIBLE, 05/01/2011, 00:01, OFF-CAMPUS APARTMENT, Closed, 13-32-OF
12/31/2013, SEX ASSAULT-FORCIBLE, 09/08/2012, 00:01, RESIDENTIAL COLLEGE BLDG, Closed, 13-33-OF
12/31/2013, SEX ASSAULT-FORCIBLE, 09/18/2012, 00:01, OFF-CAMPUS RETREAT, Closed, 13-34-OF
12/31/2013, SEX ASSAULT-FORCIBLE, 10/01/2011, 00:01, RESIDENTIAL COLLEGE BLDG, Open, 13-35-OF
01/01/2014, POSSESSION OF MARIJUANA, 01/01/2014, 00:35, 268 SOUTH FRONTAGE RD, Closed, 0114000006-OF
01/01/2014, POSSESSION OF MARIJUANA, 12/31/2013, 00:18, 63 SACHEM ST, Closed by Arrest, 0113061854-OF
01/01/2014, DISPUTE-NO DISTURBANCE, 01/01/2014, 02:35, 1 DIXWELL AVE, Closed, 0114000027-OF
01/01/2014, ILLEGAL POSSESSION OF A WEAPON, 01/01/2014, 13:27, 512 VALLEY ST, Closed by Arrest, 0114000072-OF
01/01/2014, WARRANT SERVICE, 01/01/2014, 13:27, 512 VALLEY ST, Closed by Arrest, 0112007088-OF
01/03/2014, THEFT-GREATER-ATTEMPTED, 01/03/2014, 15:02, 170 WHITNEY AVE, Closed, 0214000017-OF
01/05/2014, ROBBERY-STRT-OTH WEAPON, 01/05/2014, 18:20, 367 CEDAR ST, Open, 0114000618-OF
01/06/2014, THEFT-GREATER-ATTEMPTED, 01/06/2014, 11:27, 272 WHITNEY AVE, Closed, 0214000043-OF
01/08/2014, THEFT-GREATER-PUBLIC BUILDING, 01/08/2014, 22:07, 70 TOWER PKY, Open, 0214000061-OF
01/09/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 01/08/2014, 12:00, 219 PROSPECT ST, Closed, 0214000068-OF
01/09/2014, WARRANT SERVICE, 01/09/2014, 19:17, 84 WALL ST, Open, 0113051770-OF
01/09/2014, WANTED PERSON OTHER TOWN, 01/09/2014, 20:29, 1 UNION AVE, Closed by Arrest, 0114001340-OF
01/10/2014, HARASSMENT, 01/08/2014, 11:30, 1 PROSPECT ST, Open, 0214000076-OF
01/10/2014, THEFT-GREATER-BICYCLES, 01/07/2014, 15:02, 55 WHITNEY AVE, Open, 0214000080-OF
01/10/2014, POSSESSION OF MARIJUANA, 01/10/2014, 18:56, 50 NORTH FRONTAGE RD, Closed by Arrest, 0114001535-OF
01/11/2014, POSSESSION OF PARAPHERNALIA, 01/10/2014, 23:43, 130 PARK ST, Closed by Arrest, 0114001601-OF
01/11/2014, THEFT-SHOPLIFTING, 01/11/2014, 16:46, 43 BROADWAY ST, Closed by Arrest, 0114001705-OF
01/12/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 01/12/2014, 01:40, 801 HOWARD AVE, Closed, 0214000094-OF
01/12/2014, THEFT-BICYCLE, 01/11/2014, 22:58, 330 COLLEGE ST, Closed, 0214000092-OF
01/12/2014, POSSESSION OF DANGEROUS OR CONTROLLED DRUGS, 01/12/2014, 17:46, 189 ELM ST, Open, 0214000100-OF
01/13/2014, DISPUTE-NO DISTURBANCE, 01/13/2014, 02:10, 189 ELM ST, Closed, 0214000102-OF
01/13/2014, CONFIDENCE-FLIM FLAM, 01/06/2014, 12:21, 101 ASHMUN ST, Open, 0114002005-OF
01/13/2014, WANTED PERSON OTHER TOWN, 01/13/2014, 13:32, 643 HOWARD AVE, Closed by Arrest, 0114002015-OF
01/13/2014, WANTED PERSON OTHER TOWN, 01/13/2014, 13:33, 643 HOWARD AVE, Closed by Arrest, 0114002016-OF
01/13/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 01/13/2014, 17:10, 9 HILLHOUSE AVE, Closed, 0214000107-OF
01/13/2014, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 01/13/2014, 20:09, 304 YORK ST, Closed, 0214000109-OF
01/14/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 01/10/2014, 16:00, 367 CEDAR ST, Open, 0214000112-OF
01/14/2014, THEFT UNIVERSITY ACADEMIC BUILDING, //, 10:03, 367 CEDAR ST, Open, 0214000113-OF
01/14/2014, CRIMINAL IMPERSONATION-NON POLICE, //, 14:53, 242 ELM ST, Closed, 0114002175-OF
01/14/2014, THEFT-GREATER-BICYCLES, 01/14/2014, 19:49, 358 COLLEGE ST, Closed, 0214000116-OF
01/15/2014, THEFT UNIVERSITY RESIDENCE BUILDING, 01/15/2014, 21:59, 70 TOWER PKY, Open, 0214000125-OF
01/16/2014, BURGLARY-SCHOOL/COLLEGE /UNIVERSITY-NON FORCIBLE, 01/16/2014, 09:25, 302 YORK ST, Open, 0214000129-OF
01/16/2014, INTERFERING WITH AN OFFICER, 01/16/2014, 19:10, 34 HILLHOUSE AVE, Closed by Arrest, 0214000131-OF
01/17/2014, DRIVING WHILE INTOXICATED-ALCOHOL, 01/17/2014, 01:41, 208 ELM ST, Closed by Arrest, 0114002638-OF
01/17/2014, HARASSMENT, 06/27/2013, 00:00, 168 GROVE ST, Closed, 0213001625-OF
01/17/2014, HARASSMENT, 01/17/2014, 16:54, 265 PARK ST, Open, 0214000137-OF
01/18/2014, BREACH OF PEACE, 01/18/2014, 00:37, 39 HIGH ST, Closed, 0114002841-OF
01/18/2014, THEFT-GREATER-RESIDENCE, 01/18/2014, 01:31, 35 HIGH ST, Closed, 0114002857-OF
01/18/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 01/17/2014, 08:30, 257 DERBY AVE, Closed, 0214000147-OF
01/18/2014, THEFT-GREATER-PUBLIC BUILDING, 01/18/2014, 14:40, 1070 CHAPEL ST, Closed, 0114002909-OF
01/18/2014, POSSESSION OF MARIJUANA, 01/18/2014, 17:37, 1037 CHAPEL ST, Closed by Arrest, 0214000151-OF
01/18/2014, HARASSMENT, 01/18/2014, 18:53, 291 CONGRESS AVE, Closed, 0114002977-OF
01/19/2014, RECOVERED LICENSE PLATES, 01/19/2014, 01:47, HOWE ST, Closed by Arrest, 0114003081-OF
01/19/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 01/19/2014, 20:56, 344 COLLEGE ST, Closed, 0214000158-OF
01/19/2014, SEX ASSAULT-FORCIBLE, 01/17/2014, 00:01, OFF-CAMPUS RESIDENCE, Open, 14-1-OF
01/20/2014, THEFT-SHOPLIFTING, 01/20/2014, 13:06, 13 BROADWAY ST, Closed by Arrest, 0114003293-OF
01/21/2014, CRIMINAL TRESPASS, 01/20/2014, 23:28, 310 CEDAR ST, Closed by Arrest, 0214000164-OF
01/21/2014, THEFT-GREATER-PUBLIC BUILDING, 01/21/2014, 13:50, 206 ELM ST, Open, 0214000169-OF
01/22/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 01/22/2014, 12:00, 205 PROSPECT ST, Open, 0214000177-OF
01/25/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 01/25/2014, 17:44, 180 YORK ST, Open, 0214000209-OF
01/27/2014, SUSPICIOUS FIRE, 01/27/2014, 15:41, 200 CONRAD DR, Closed, 0214000225-OF
01/28/2014, VIOLATION OR PROTECTIVE OR RESTRAINING ORDER, 01/28/2014, 00:34, 161 PARK ST, Closed by Arrest, 0114004547-OF
01/28/2014, EVADING RESPONSIBILITY, 06/21/2013, 01:20, ELM ST, Open, 0113028326-OF
01/28/2014, THEFT-GREATER-PUBLIC BUILDING, 01/28/2014, 07:55, 353 CROWN ST, Closed, 0214000231-OF
01/28/2014, THEFT GREATER MISCELLANEOUS, 01/25/2014, 13:00, 35 LYNWOOD PL, Closed, 0214000223-OF
01/29/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 01/29/2014, 11:56, 1111 CHAPEL ST, Open, 0214000236-OF
01/31/2014, BREACH OF PEACE, 01/30/2014, 23:43, 70 CHURCH ST, Closed by Arrest, 0114005088-OF
01/31/2014, DRIVING WHILE INTOXICATED-ALCOHOL, 01/31/2014, 01:11, 220 GROVE ST, Closed by Arrest, 0114005099-OF
01/31/2014, HARASSMENT, 01/22/2014, 13:00, 127 WALL ST, Closed, 0214000254-OF
01/31/2014, DISPUTE-NO DISTURBANCE, 01/31/2014, 14:59, 221 WHITNEY AVE, Closed, 0214000255-OF
01/31/2014, WARRANT SERVICE, 01/31/2014, 19:50, HOWE ST, Closed by Arrest, 0113029132-OF
01/31/2014, WARRANT SERVICE, 01/31/2014, 20:28, HOWE ST, Closed by Arrest, 0112048993-OF
02/02/2014, CRIMINAL TRESPASS, 02/02/2014, 02:59, 330 COLLEGE ST, Closed by Arrest, 0214000269-OF
02/02/2014, DISORDERLY CONDUCT, 02/02/2014, 15:56, 302 YORK ST, Closed, 0214000273-OF
02/02/2014, THEFT FROM PERSON, 02/02/2014, 16:39, 300 YORK ST, Closed, 0114005564-OF
02/02/2014, THEFT-GREATER-BICYCLES, 02/01/2014, 22:00, 65 EDGEWOOD AVE, Closed, 0114005567-OF
02/03/2014, CRIMINAL TRESPASS, 02/03/2014, 19:47, 1000 CHAPEL ST, Closed by Arrest, 0114005773-OF
02/04/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 02/04/2014, 11:00, 1156 CHAPEL ST, Open, 0214000286-OF
02/04/2014, BREACH OF PEACE, 02/04/2014, 16:51, 304 ELM ST, Closed by Arrest, 0214000287-OF
02/04/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 11/04/2013, 18:23, 393 PROSPECT ST, Open, 0214000288-OF
02/04/2014, THEFT-GREATER-BICYCLES, 02/04/2014, 21:51, 483 COLLEGE ST, Closed, 0114005972-OF
02/07/2014, THEFT-GREATER-PUBLIC BUILDING, 02/07/2014, 16:25, 240 COLLEGE ST, Open, 0114006396-OF
02/08/2014, DRIVING WHILE INTOXICATED-DRUGS, 02/08/2014, 01:05, 270 YORK ST, Closed by Arrest, 0114006563-OF
02/09/2014, THEFT-BICYCLE, 02/09/2014, 14:14, 304 YORK ST, Open, 0214000324-OF
02/10/2014, POSSESSION OF MARIJUANA, 02/10/2014, 01:22, 306 YORK ST, Closed by Arrest, 0114006883-OF
02/10/2014, DRIVING WHILE INTOXICATED-ALCOHOL, 02/10/2014, 01:21, 20 TOWER PKY, Closed by Arrest, 0114006887-OF
02/09/2014, THEFT-BICYCLE, 02/09/2014, 14:14, 304 YORK ST, Open, 0214000324-OF
02/10/2014, HARASSMENT, 02/10/2014, 09:51, 221 WHITNEY AVE, Closed, 0214000326-OF
02/12/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 02/12/2014, 05:59, 61 EDGEWOOD AVE, Closed, 0114007281-OF
02/10/2014, HARASSMENT, 02/10/2014, 15:19, 19 TOWER PKY, Open, 0214000329-OF
02/14/2014, HARASSMENT, 02/13/2014, 14:26, 221 WHITNEY AVE, Closed, 0214000363-OF
02/15/2014, DISPUTE-NO DISTURBANCE, 02/15/2014, 00:45, YORK ST, Closed, 0114007683-OF
02/15/2014, CRIMINAL TRESPASS, 02/15/2014, 01:14, 88 YORK ST, Closed, 0114007688-OF
02/15/2014, THEFT OF CREDIT CARDS, 01/29/2014, 00:00, 241 ELM ST, Closed, 0214000373-OF
02/15/2014, THEFT-GREATER-AUTO ACCESSORIES, 02/14/2014, 17:00, 367 CEDAR ST, Closed, 0214000374-OF
02/15/2014, THEFT-RESIDENCE, 02/14/2014, 22:30, 397 CROWN ST, Closed, 0114007752-OF
02/16/2014, THEFT-GREATER-PUBLIC BUILDING, 02/16/2014, 01:42, 35 HIGH ST, Open, 0114007823-OF
02/17/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 02/13/2014, 17:00, 330 COLLEGE ST, Closed, 0214000391-OF
02/17/2014, SIMPLE ASSAULT, 02/17/2014, 19:28, 104 LAKE PL, Closed by Arrest, 0214000396-OF
02/17/2014, THEFT-GREATER-PUBLIC BUILDING, 02/17/2014, 20:29, 70 TOWER PKY, Open, 0214000398-OF
02/19/2014, SEX ASSAULT-FORCIBLE, 02/02/2014, 00:01, 31 HIGH ST, Open, 14-4-OF
02/20/2014, THEFT-GREATER-PUBLIC BUILDING, 02/20/2014, 15:27, 55 LOCK ST, Closed, 0214000420-OF
02/21/2014, WINDOW BREAKING, 02/21/2014, 00:32, 80 HIGH ST, Closed, 0214000423-OF
02/21/2014, SEX ASSAULT-FORCIBLE, 02/08/2014, 00:01, 31 HIGH ST, Closed, 14-5-OF
02/22/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 02/22/2014, 02:09, 261 PARK ST, Open, 0214000435-OF
02/22/2014, DRIVING WHILE INTOXICATED-ALCOHOL, 02/22/2014, 01:22, 66 ASHMUN ST, Closed by Arrest, 0114008825-OF
02/23/2014, MYSTERIOUS LOSS OF MONEY, 02/14/2014, 00:01, 189 ELM ST, Open, 0214000448-OF
02/23/2014, BURGLARY-NOTHING TAKEN, 02/23/2014, 15:54, YORK ST, Closed by Arrest, 0114009084-OF
02/24/2014, HARASSMENT, 02/24/2014, 20:42, 77 BROADWAY ST, Closed by Arrest, 0114009317-OF
02/25/2014, THEFT UNIVERSITY RESIDENCE BUILDING, 02/24/2014, 10:15, 206 ELM ST, Closed, 0214000457-OF
02/23/2014, BREACH OF PEACE, 02/23/2014, 01:48, BROADWAY, Closed, 0114009026-OF
02/26/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 02/26/2014, 13:50, 451 COLLEGE ST, Open, 0214000461-OF
02/27/2014, DRIVING WHILE INTOXICATED-ALCOHOL, 02/27/2014, 01:51, 281 TEMPLE ST, Closed by Arrest, 0114009688-OF
02/26/2014, HARASSMENT, 02/26/2014, 11:08, 846 ORANGE ST, Open, 0114009540-OF
03/01/2014, DRIVING WHILE INTOXICATED-DRUGS, 03/01/2014, 03:07, 208 ELM ST, Closed by Arrest, 0114010021-OF
03/02/2014, OTHER INVESTIGATION, 03/02/2014, 20:11, 1227 CHAPEL ST, Closed, 0114010350-OF
03/03/2014, THEFT GREATER MISCELLANEOUS, 03/03/2014, 10:53, 15 YORK ST, Closed, 0214000502-OF
03/02/2014, OTHER INVESTIGATION, 03/02/2014, 20:11, 1227 CHAPEL ST, Closed, 0114010350-OF
03/03/2014, SEX ASSAULT-FORCIBLE, 02/22/2014, 00:01, CAMPUS RESIDENTIAL BLDG, Open, 14-6-OF
03/03/2014, THEFT-GREATER-RESIDENCE, 03/03/2014, 17:10, 125 MANSFIELD ST, Closed, 0214000504-OF
03/03/2014, ILLEGAL POSSESSION OF A WEAPON, 03/03/2014, 20:18, 141 GEORGE ST, Closed by Arrest, 0114010504-OF
03/03/2014, WANTED PERSON OTHER TOWN, 03/03/2014, 20:18, 141 GEORGE ST, Closed by Arrest, 0114010510-OF
03/04/2014, DRIVING WHILE INTOXICATED-ALCOHOL, 03/04/2014, 01:05, 1 WHALLEY AVE, Closed by Arrest, 0114010530-OF
03/04/2014, THEFT-PUBLIC BUILDING, 03/04/2014, 04:57, 319 CROWN ST, Closed by Arrest, 0114010535-OF
03/04/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 03/03/2014, 16:30, 367 CEDAR ST, Closed, 0214000509-OF
03/04/2014, POSSESSION OF NARCOTICS-GENERAL, 03/04/2014, 22:16, 119 ELM ST, Closed, 0114010696-OF
03/02/2014, THEFT-BICYCLE, 03/01/2014, 23:00, 206 ELM ST, Open, 0214000500-OF
03/06/2014, BURGLARY-NOTHING TAKEN, 03/05/2014, 17:00, 35 BROADWAY ST, Open, 0214000517-OF
01/17/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 01/16/2014, 17:00, 242 ELM ST, Open, 0214000135-OF
03/06/2014, DISORDERLY CONDUCT, 03/01/2014, 00:01, CAMPUS RESIDENTIAL BLDG, Closed, 14-9-OF
03/06/2014, THEFT UNIVERSITY RESIDENCE BUILDING, 03/06/2014, 00:05, 358 COLLEGE ST, Open, 0214000522-OF
03/06/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 03/05/2014, 18:19, 205 ELM ST, Closed, 0214000523-OF
03/06/2014, THEFT OF CREDIT CARDS, 03/06/2014, 17:10, CHURCH ST, Open, 0114011029-OF
03/06/2014, TRESPASSING, 03/06/2014, 20:44, 110 WALL ST, Closed by Arrest, 0214000524-OF
03/07/2014, CONFIDENCE-FLIM FLAM, 03/07/2014, 09:20, 132 WALL ST, Open, 0214000531-OF
03/07/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 09/12/2013, 13:00, 127 HIGH ST, Open, 0214000535-OF
03/08/2014, FRAUD, 03/08/2014, 15:25, 19 TOWER PKY, Closed, 0214000550-OF
03/10/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 03/09/2014, 23:55, 255 YORK ST, Open, 0214000560-OF
03/10/2014, DISPUTE-NO DISTURBANCE, 03/10/2014, 23:45, 107 WASHINGTON AVE, Closed, 0114011741-OF
03/10/2014, DISPUTE-NO DISTURBANCE, 03/10/2014, 23:45, 107 WASHINGTON AVE, Closed, 0114011741-OF
03/11/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 03/11/2014, 07:30, 63 HIGH ST, Closed, 0214000565-OF
03/11/2014, THEFT-GREATER-BICYCLES, 03/11/2014, 16:52, 206 ELM ST, Closed, 0214000568-OF
03/11/2014, OTHER LIQUOR OFFENSES, 03/11/2014, 21:48, 1071 CHAPEL ST, Closed by Arrest, 0114011895-OF
03/12/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 03/12/2014, 02:24, 1035 CHAPEL ST, Open, 0214000573-OF
03/11/2014, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 03/11/2014, 12:30, 241 ELM ST, Open, 0214000566-OF
01/09/2014, HARASSMENT, 01/03/2014, 09:06, 400 W CAMPUS DR, Open, 0214000073-OF
03/13/2014, THEFT-GREATER-FROM MOTOR VEHICLE, 03/13/2014, 17:00, 270 CONGRESS AVE, Closed, 0214000587-OF
03/14/2014, BURGLARY-SCHOOL/COLLEGE /UNIVERSITY-NON FORCIBLE, 03/14/2014, 12:30, 205 ELM ST, Closed by Arrest, 0214000593-OF
03/14/2014, HARASSMENT, 03/14/2014, 14:55, 19 TOWER PKY, Closed, 0214000595-OF
03/14/2014, THEFT-GREATER-FROM MOTOR VEHICLE, 03/14/2014, 17:50, 790 HOWARD AVE, Closed, 0214000598-OF
03/14/2014, POSSESSION OF ALCOHOL BY A MINOR, 03/14/2014, 23:21, 66 ASHMUN ST, Closed by Arrest, 0214000601-OF
03/15/2014, DISPUTE-NO DISTURBANCE, 03/15/2014, 02:05, 67 HOWE ST, Closed, 0114012467-OF
03/15/2014, THEFT FROM AUTO, 03/15/2014, 11:50, 264 WASHINGTON AVE, Closed, 0214000603-OF
03/15/2014, THEFT-GREATER-BICYCLES, 03/15/2014, 00:00, 45-47 LAKE PL, Closed, 0214000605-OF
03/16/2014, BREACH OF PEACE, 03/16/2014, 00:50, 1111 CHAPEL ST, Open, 0214000610-OF
03/17/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 03/13/2014, 17:30, 1 LONG WHARF DR, Open, 0214000617-OF
03/17/2014, THEFT-GREATER-FROM MOTOR VEHICLE, 03/17/2014, 16:12, 790 HOWARD AVE, Closed by Arrest, 0214000623-OF
03/17/2014, THEFT-GREATER-FROM MOTOR VEHICLE, 03/17/2014, 15:27, 790 HOWARD AVE, Closed by Arrest, 0214000622-OF
03/17/2014, TAMPERING WITH A MOTOR VEHICLE, 03/17/2014, 16:03, 790 HOWARD AVE, Closed by Arrest, 0214000624-OF
03/17/2014, WARRANT SERVICE, 03/17/2014, 22:07, HOWARD ST, Closed by Arrest, 0113048844-OF
03/18/2014, ASSAULT-WEAPON-NON FIREARM, 03/18/2014, 17:14, 925 CHAPEL ST, Closed by Arrest, 0114013085-OF
03/18/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 03/18/2014, 16:23, 110 WALL ST, Closed, 0214000631-OF
03/19/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 12/21/2013, 07:00, 60 SACHEM ST, Open, 0214000634-OF
03/19/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 03/17/2014, 12:00, 333 CEDAR ST, Closed, 0214000637-OF
03/19/2014, THEFT-BICYCLE, 03/19/2014, 16:41, 73 SACHEM ST, Closed, 0214000641-OF
03/20/2014, DRIVING WHILE INTOXICATED-ALCOHOL, 03/20/2014, 00:38, BROADWAY ST, Closed by Arrest, 0114013292-OF
03/19/2014, THEFT-BICYCLE, 03/19/2014, 13:48, 291 MANSFIELD ST, Closed by Arrest, 0214000640-OF
03/21/2014, BURGLARY-ATTEMPT, 03/21/2014, 09:00, 87 TRUMBULL ST, Closed, 0214000649-OF
03/21/2014, CONFIDENCE-FLIM FLAM, 03/21/2014, 16:29, 2 WHITNEY AVE, Closed, 0214000654-OF
03/21/2014, HARASSMENT, 03/21/2014, 19:44, 165 GOFFE ST, Open, 0214000656-OF
03/22/2014, DRIVING WHILE INTOXICATED-ALCOHOL, 03/22/2014, 02:27, 30 NORTH FRONTAGE RD, Closed by Arrest, 0114013670-OF
03/22/2014, DISORDERLY CONDUCT, 03/22/2014, 04:13, 31 FOUNTAIN TER, Open, 01040013674-OF
03/22/2014, THEFT GREATER SHOPLIFTING, 03/22/2014, 19:12, 43 BROADWAY ST, Closed by Arrest, 0114013781-OF
03/22/2014, DISORDERLY CONDUCT, 03/22/2014, 04:13, FOUNTAIN ST, Closed by Arrest, 0114013674-OF
03/24/2014, HARASSMENT, 03/15/2014, 08:00, 100 WALL ST, Closed, 0214000671-OF
03/24/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 03/24/2014, 11:09, 225 PROSPECT ST, Closed, 0214000673-OF
03/24/2014, THEFT OF CREDIT CARDS, 03/24/2014, 15:33, 74 HIGH ST, Closed, 0214000675-OF
03/25/2014, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 03/25/2014, 00:30, 241 ELM ST, Open, 0214000680-OF
03/25/2014, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 03/25/2014, 09:53, 210 PARK ST, Open, 0214000679-OF
03/21/2014, THEFT-GREATER-FROM MOTOR VEHICLE, 03/14/2014, 08:00, 2 HOWE ST, Open, 0114013509-OF
03/26/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 03/26/2014, 11:32, 115 PROSPECT ST, Open, 0214000687-OF
03/26/2014, THEFT UNIVERSITY RESIDENCE BUILDING, 03/26/2014, 14:46, 241 ELM ST, Closed, 0214000688-OF
03/26/2014, THEFT OF CREDIT CARDS, 03/26/2014, 14:44, 34 SACHEM ST, Closed by Arrest, 0114014386-OF
03/26/2014, VIOLATION OR PROTECTIVE OR RESTRAINING ORDER, 03/26/2014, 18:24, 50 WHALLEY AVE, Closed by Arrest, 0114014419-OF
03/27/2014, THEFT-GREATER-FROM MOTOR VEHICLE, 03/27/2014, 00:58, 101 MANSFIELD ST, Open, 0214000689-OF
03/28/2014, DRIVING WHILE INTOXICATED-ALCOHOL, 03/28/2014, 01:06, 281 TEMPLE ST, Closed by Arrest, 0114014662-OF
03/28/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 03/28/2014, 08:35, 347 CANNER ST, Closed, 0214000699-OF
03/29/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 03/29/2014, 02:24, 206 ELM ST, Closed, 0214000706-OF
03/30/2014, WINDOW BREAKING, 03/30/2014, 07:00, 40 ASHMUN ST, Closed, 0214000713-OF
03/31/2014, POSSESSION OF MARIJUANA, 03/12/2014, 15:12, Location, Closed by Arrest, 0214000720-OF
03/28/2014, DISORDERLY CONDUCT, 01/01/2014, 16:45, 261 PARK ST, Closed, 14-10-OF
03/28/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 03/31/2014, 15:25, STATE ST @ HUMPHREY ST, Closed, WHPD2014009027-OF
04/01/2014, WANTED PERSON OTHER TOWN, 04/01/2014, 16:19, 419 ELM ST, Closed by Arrest, 0114015480-OF
